video_id,comment_id,author,text,like_count,published_at,is_reply,total_reply_count,reply_to
EnVab0wAtyQ,UgxuBfiRbsdPeCovCCR4AaABAg,@Jaytheemo,GERARD REF OMG!!!,1,2024-12-25T13:11:09Z,False,0,
EnVab0wAtyQ,UgxN32U5xr0C-zvqDml4AaABAg,@LibiaBooze,What kind of music did you listen to?,0,2024-12-24T07:51:04Z,False,0,
EnVab0wAtyQ,UgyVMLjhOCRF02EgOLd4AaABAg,@mikeylibra5233,You and ur mom seem so sweet!,0,2024-12-23T22:10:54Z,False,0,
EnVab0wAtyQ,UgzdouJOLoVY-5-DHVZ4AaABAg,@SillyPuppetShow,Nah bcs my mom and I only buy clothes once a year and this is literally her trying to keep up with my teen identity crisis,0,2024-12-23T19:57:16Z,False,0,
EnVab0wAtyQ,UgxZPSiVc6_idsGa5z54AaABAg,@amysanders9494,Oh my! I went through every phase as you! Brilliant you have the evidence!,0,2024-12-23T14:27:23Z,False,0,
EnVab0wAtyQ,UgwTZK9YC4V5A8m7rS94AaABAg,@boingooingo3317,"U went through all the trends, including trends i didnt even know about LOL",0,2024-12-23T12:06:53Z,False,0,
EnVab0wAtyQ,Ugw4_0k48o0rtCx5VeR4AaABAg,@Roo_Bear,This is what moms are supposed to be like.,0,2024-12-23T05:55:23Z,False,0,
EnVab0wAtyQ,UgzBG1CUMRcvWOIJ5954AaABAg,@AnastaseroPatatero,Ammmm im the only one that thinks that when you were a teen-ager you were cuteeeee🥲🥲🥲🥲,0,2024-12-22T21:07:44Z,False,0,
EnVab0wAtyQ,Ugyiv3zSrKYY3JLH_4l4AaABAg,@wonyoung_life111,"i love your mom, dayum",0,2024-12-22T17:13:54Z,False,0,
EnVab0wAtyQ,UgyTAjZsh_JroEHDsXJ4AaABAg,@unchartedtombraider944,Ok I love this it’s too accurate 😂 ❤,0,2024-12-22T00:07:05Z,False,0,
EnVab0wAtyQ,Ugy1wDYn7q3QfApJR0t4AaABAg,@TylonVanrensburg,bro had to say one more k,0,2024-12-20T22:03:35Z,False,0,
EnVab0wAtyQ,UgzmUVy1N-Jmh9bGeo94AaABAg,@th3fall0fIcarus,"i'm gonna go up to my mom and say ""ur SO not KEWL"" although she literally dresses the same as me",0,2024-12-20T21:44:29Z,False,0,
EnVab0wAtyQ,UgydoO_KKwwJbdIou6R4AaABAg,@Plenny-j7w,You said guy for most of them and I think you’re mistaken. You’re a girl,0,2024-12-20T19:09:58Z,False,1,
EnVab0wAtyQ,UgydoO_KKwwJbdIou6R4AaABAg.ACHRMBZ5GCVADFTv457-T1,@acidfvngz,“you’re a girl” the most manly man to ever man on the screen:,0,2025-01-13T21:25:15Z,True,0,UgydoO_KKwwJbdIou6R4AaABAg
EnVab0wAtyQ,Ugzr_TkgueuiFWszwkJ4AaABAg,@mariahflennory9229,What a good mother ❤😂,0,2024-12-20T17:57:49Z,False,0,
EnVab0wAtyQ,UgwIscOgBThWqejgES54AaABAg,@Ovsyanches,I'm literally in tears 😂😂😂,0,2024-12-20T14:13:15Z,False,0,
EnVab0wAtyQ,Ugxun8Zby-LX7Vwfng54AaABAg,@-syo-aka-ibu2.0,THE GERARD WAY FIT OGMMG,0,2024-12-19T18:13:26Z,False,0,
EnVab0wAtyQ,Ugxc_Li32KYPPUyvnZF4AaABAg,@owngamesgamer4030,in the first one you straight up looked like a green day member LMAO,2,2024-12-19T15:02:20Z,False,0,
EnVab0wAtyQ,Ugw8EICKRvZizjpL5UF4AaABAg,@SpecialNameHere,I fear i would have fallen hard for pop punk surfer dude Lewis if we had crossed paths 😂😂😂😂,0,2024-12-19T15:01:49Z,False,0,
EnVab0wAtyQ,UgzLpYvfeGYs1FgIvRN4AaABAg,@colleenrenee3120,Pretty sure I’ve worn at least 3 of these outfits before and I feel personally attacked,0,2024-12-19T08:36:17Z,False,0,
EnVab0wAtyQ,UgxAdkWwMdrhHABqYZB4AaABAg,@washingtonunibound,She was tryin so hard though we love a supportive mom!! Also the pop punk surfer was so good lmao 🤣,0,2024-12-19T04:33:02Z,False,0,
EnVab0wAtyQ,Ugws8jDoz-toNOiehdN4AaABAg,@Maxine-o2c,lol the outfit in when going to the party was giving MCR❤,0,2024-12-19T00:38:33Z,False,0,
EnVab0wAtyQ,UgzoZ_OEaxXfOyfZjlZ4AaABAg,@berniceostroff3498,Live laugh love Gerardway,0,2024-12-19T00:37:43Z,False,0,
EnVab0wAtyQ,Ugy2-6gsJSvRd2PrZ0x4AaABAg,@tom_oko,The gee fit,0,2024-12-19T00:09:49Z,False,0,
EnVab0wAtyQ,Ugy6he9pVbfZyNKRWxZ4AaABAg,@sifodonald7100,"Man, mom can’t catch a break can she",0,2024-12-18T17:55:20Z,False,0,
EnVab0wAtyQ,UgzhDyPymAk0LXiSE3Z4AaABAg,@Itsgivingglamorous,Poor mum 😭,0,2024-12-18T17:34:31Z,False,0,
EnVab0wAtyQ,Ugw2ZfiQsTbhqVzoBUN4AaABAg,@hiatoPS,"Wow, she cared about you and actually wants to support your style, that‘s so cool!",0,2024-12-18T00:36:26Z,False,0,
EnVab0wAtyQ,UgxvTGxRPhUZi4BQe3x4AaABAg,@charliemcdowell5231,"so wholesome, mom is trying!",1,2024-12-17T01:34:03Z,False,0,
EnVab0wAtyQ,Ugy_T0WSKORwoBOkDPp4AaABAg,@kaleahcollins4567,Poor mum . You were a cheeky sod weren't you 😂,1,2024-12-16T01:38:35Z,False,0,
EnVab0wAtyQ,UgyhuLBOqJx1QC5zP0t4AaABAg,@Emory_da_falbulous_killjoy,No he’s going Helena’s funeral,1,2024-12-15T20:35:47Z,False,0,
EnVab0wAtyQ,UgwRmSZ3tQANvhii91F4AaABAg,@kendrajimenez8806,YES I LOVE SCENE KIDSS,1,2024-12-15T18:03:44Z,False,0,
EnVab0wAtyQ,UgxyH3r6CGpN5lLVNtB4AaABAg,@Your_localemokidX3,The chav boy got me dyingg,2,2024-12-14T11:58:49Z,False,0,
EnVab0wAtyQ,Ugy8zu0G1_yOe43ak8F4AaABAg,@velvetbat-r2p,Wait go back to crunk cuz like it so suits,1,2024-12-14T06:33:48Z,False,0,
EnVab0wAtyQ,UgzBr4LuzrMqnsMsgcx4AaABAg,@happy_clouds210,not the red tie gerard fit😭😭😭,1,2024-12-13T01:13:47Z,False,0,
EnVab0wAtyQ,Ugz70G8Diop1FHHZ5ap4AaABAg,@alex_enby,Okay but you actually rocked that blonde hair,1,2024-12-12T18:37:31Z,False,0,
EnVab0wAtyQ,UgzVjzPYLtirh4Hfz114AaABAg,@The_ghegh,Lewis has gone through more eras in this video than taylor swift,1,2024-12-12T13:30:05Z,False,0,
EnVab0wAtyQ,UgynLvhILHn8Uc-Ba754AaABAg,@hanabihananan,"Atleast mom's trying to understand, and buying stuff for her child to enjoy‼️",1,2024-12-12T11:42:41Z,False,0,
EnVab0wAtyQ,UgwQa1B5-j4IAbyOked4AaABAg,@mandam6796,What a good mom 😢,1,2024-12-11T22:29:56Z,False,0,
EnVab0wAtyQ,UgwjMwNClKVb99FYFOd4AaABAg,@vanilla9955,Damn I would hate my kid if they were ungrateful for the gifts I gave them,0,2024-12-11T03:32:25Z,False,0,
EnVab0wAtyQ,UgxanMnKAKv0RWgT80d4AaABAg,@Go.To.HeII.Zack..00,THD CHEEKS ARE SO AVERAGE I LOVE IT,0,2024-12-10T14:36:23Z,False,0,
EnVab0wAtyQ,UgxOGFhsnD-U2jULGVt4AaABAg,@JeffTotty,This is so disturbing.  Baker Act this dude.,0,2024-12-10T13:06:56Z,False,0,
EnVab0wAtyQ,UgwkzD4F1c1jtkw-loJ4AaABAg,@bloopbee_,pop punk surfer dude is so my type  😂,2,2024-12-09T02:29:18Z,False,0,
EnVab0wAtyQ,Ugy59tk5e2tAf-ycjNF4AaABAg,@ellisiavalvona5442,at least she tryed,1,2024-12-09T00:35:16Z,False,0,
EnVab0wAtyQ,UgzKXC10xpk3awr2ibt4AaABAg,@itsblacksaphhirecookielive,Me changing my eras every day:,1,2024-12-08T20:39:15Z,False,0,
EnVab0wAtyQ,Ugz9RgQ58mlVK8pbCDt4AaABAg,@ST4RSH4PED,honestly the chav era kind of ate,0,2024-12-08T10:35:48Z,False,0,
EnVab0wAtyQ,UgyFM0lfVmL7udAG3Mh4AaABAg,@someones_idiot,Mom just wanted to get some gifts for her child 😭,1,2024-12-07T21:57:04Z,False,0,
EnVab0wAtyQ,UgwdIKaWdubrWoxoJEZ4AaABAg,@ashiskumardutta7746,I still can't tell if your a boy or a girl in the pics,0,2024-12-07T19:17:02Z,False,1,
EnVab0wAtyQ,UgwdIKaWdubrWoxoJEZ4AaABAg.ABkypgEZtqJAC8aLzLhra6,@prageruwu69,"he's trans, he was early in his transition in those pics",0,2024-12-17T08:44:09Z,True,0,UgwdIKaWdubrWoxoJEZ4AaABAg
EnVab0wAtyQ,UgzqPMdiuihU08hMIY54AaABAg,@zqueen1229,You were a very difficult teen 😂,0,2024-12-06T22:34:17Z,False,0,
EnVab0wAtyQ,UgwLyCLjyn6sX6Kc9Ld4AaABAg,@babydontyoucry7909,"you were so stressin your mum out abt all the different looks lmaoo but good on her for tryin her best
and trying to find a fashion style you like best on yourself is hard lol",0,2024-12-06T20:37:59Z,False,0,
EnVab0wAtyQ,Ugz1Ywxm7eaQSpgC9VR4AaABAg,@donotbememaxvoid77,Mom and everyone can't keep up. It switched too fast. Not that fast in fashion changes before the late 90s and 200s. It just kept changing faster.😂😂😂,0,2024-12-06T11:00:51Z,False,0,
EnVab0wAtyQ,UgznXdw5mlp7nqcgpPd4AaABAg,@luhsenna4718,this man really lived a thousand lives,0,2024-12-05T23:47:53Z,False,0,
